País,Variable,Código CINE,Nivel CINE,Grado,Población,2018,2019,2020,2021,2022,2023
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,,Rural,60472,58399,52956,48672,47677,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,1,Total,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,1,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,1,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,1,Urbano,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,1,Rural,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,2,Total,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,2,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,2,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,2,Urbano,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,2,Rural,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,3,Total,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,3,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,3,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,3,Urbano,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,3,Rural,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,4,Total,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,4,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,4,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,4,Urbano,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,4,Rural,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Total,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Urbano,,,,,,
Argentina,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Rural,,,,,,
Argentina,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Total,71949,72475,69230,66473,63858,
Argentina,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Urbano,1869,2046,1848,1938,2149,
Argentina,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Rural,70080,70429,67382,64535,61709,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,1,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,1,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,1,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,1,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,1,Rural,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,2,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,2,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,2,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,2,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,2,Rural,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,3,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,3,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,3,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,3,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,3,Rural,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,4,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,4,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,4,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,4,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,4,Rural,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,5,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,5,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,5,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,5,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,5,Rural,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,6,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,6,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,6,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,6,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,6,Rural,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,7,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,7,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,7,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,7,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,7,Rural,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,,Rural,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,1,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,1,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,1,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,1,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,1,Rural,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,2,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,2,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,2,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,2,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,2,Rural,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,3,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,3,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,3,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,3,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,3,Rural,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,4,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,4,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,4,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,4,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,4,Rural,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,,Rural,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-3,Educación secundaria alta,,Total,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-3,Educación secundaria alta,,Hombres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-3,Educación secundaria alta,,Mujeres,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-3,Educación secundaria alta,,Urbano,,,,,,
Argentina,𝐼𝑅𝑔𝑀,CINE-3,Educación secundaria alta,,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-02,Educación pre-primaria,,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-02,Educación pre-primaria,,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-02,Educación pre-primaria,,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-02,Educación pre-primaria,,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-02,Educación pre-primaria,,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,1,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,1,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,1,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,1,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,1,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,2,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,2,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,2,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,2,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,2,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,3,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,3,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,3,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,3,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,3,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,4,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,4,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,4,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,4,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,4,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,5,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,5,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,5,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,5,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,5,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,6,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,6,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,6,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,6,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,6,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,7,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,7,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,7,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,7,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,7,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,1,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,1,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,1,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,1,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,1,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,2,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,2,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,2,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,2,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,2,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,3,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,3,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,3,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,3,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,3,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,4,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,4,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,4,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,4,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,4,Rural,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,,Total,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,,Hombres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,,Mujeres,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,,Urbano,,,,,,
Argentina,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,,Rural,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,1,Total,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,1,Hombres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,1,Mujeres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,1,Urbano,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,1,Rural,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,2,Total,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,2,Hombres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,2,Mujeres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,2,Urbano,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,2,Rural,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,3,Total,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,3,Hombres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,3,Mujeres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,3,Urbano,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,3,Rural,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,4,Total,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,4,Hombres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,4,Mujeres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,4,Urbano,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,4,Rural,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,5,Total,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,5,Hombres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,5,Mujeres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,5,Urbano,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,5,Rural,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,6,Total,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,6,Hombres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,6,Mujeres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,6,Urbano,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,6,Rural,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,7,Total,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,7,Hombres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,7,Mujeres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,7,Urbano,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,7,Rural,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,,Total,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,,Hombres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,,Mujeres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,,Urbano,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,,Rural,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,1,Total,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,1,Hombres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,1,Mujeres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,1,Urbano,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,1,Rural,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,2,Total,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,2,Hombres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,2,Mujeres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,2,Urbano,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,2,Rural,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,3,Total,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,3,Hombres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,3,Mujeres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,3,Urbano,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,3,Rural,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,4,Total,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,4,Hombres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,4,Mujeres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,4,Urbano,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,,Rural,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,,Total,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,,Hombres,,,,,,
Argentina,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,,Mujeres,,,,,,
