,País,Indicador,Definicion_indicador,Código CINE,Nivel CINE,Población,Year,value
21,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Hombres,2018,
22,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Mujeres,2018,
23,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Urbano,2018,
24,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Rural,2018,
25,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Total,2018,
26,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Hombres,2018,
27,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Mujeres,2018,
28,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Urbano,2018,
29,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,Total,Total,Rural,2018,
30,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,Total,Total,Total,2018,
31,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Hombres,2018,
32,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Mujeres,2018,
33,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Urbano,2018,
34,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Rural,2018,
35,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-02,Educación pre-primaria,Total,2018,
36,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-02,Educación pre-primaria,Hombres,2018,
37,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-02,Educación pre-primaria,Mujeres,2018,
38,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-02,Educación pre-primaria,Urbano,2018,
39,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-02,Educación pre-primaria,Rural,2018,
40,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-1,Educación primaria,Total,2018,
41,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-1,Educación primaria,Hombres,2018,
42,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-1,Educación primaria,Mujeres,2018,
43,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-1,Educación primaria,Urbano,2018,
44,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-1,Educación primaria,Rural,2018,
45,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-2,Educación secundaria baja,Total,2018,
46,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-2,Educación secundaria baja,Hombres,2018,
47,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-2,Educación secundaria baja,Mujeres,2018,
48,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-2,Educación secundaria baja,Urbano,2018,
49,Argentina,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-2,Educación secundaria baja,Rural,2018,
50,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-1,Educación primaria,Total,2018,
51,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-1,Educación primaria,Hombres,2018,
52,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-1,Educación primaria,Mujeres,2018,
53,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-1,Educación primaria,Urbano,2018,
54,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-1,Educación primaria,Rural,2018,
55,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Total,2018,
56,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Hombres,2018,
57,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Mujeres,2018,
58,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Urbano,2018,
59,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Rural,2018,
60,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Total,2018,
61,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Hombres,2018,
62,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Mujeres,2018,
63,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Urbano,2018,
64,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Rural,2018,
65,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,Total,Total,Total,2018,
66,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,Total,Total,Hombres,2018,
67,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,Total,Total,Mujeres,2018,
68,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,Total,Total,Urbano,2018,
69,Argentina,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,Total,Total,Rural,2018,
70,Argentina,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-1,Educación primaria,Total,2018,
71,Argentina,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-1,Educación primaria,Hombres,2018,
72,Argentina,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-1,Educación primaria,Mujeres,2018,
73,Argentina,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-2,Educación secundaria baja,Total,2018,
74,Argentina,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-2,Educación secundaria baja,Hombres,2018,
75,Argentina,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-2,Educación secundaria baja,Mujeres,2018,
76,Argentina,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-3,Educación secundaria alta,Total,2018,
77,Argentina,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-3,Educación secundaria alta,Hombres,2018,
78,Argentina,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-3,Educación secundaria alta,Mujeres,2018,
79,Argentina,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,Total,Total,Total,2018,
80,Argentina,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,Total,Total,Hombres,2018,
81,Argentina,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,Total,Total,Mujeres,2018,
82,Argentina,4,Indicador 4 - Proporción de estudiantes en situación de movilidad matriculados oportunamente en el primer grado de primaria.,Total,Total,Total,2018,
83,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-02,Educación pre-primaria,Total,2018,2.29
84,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-02,Educación pre-primaria,Hombres,2018,2.38
85,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-02,Educación pre-primaria,Mujeres,2018,2.19
86,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-1,Educación primaria,Total,2018,3.22
87,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-1,Educación primaria,Hombres,2018,3.37
88,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-1,Educación primaria,Mujeres,2018,3.06
89,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-2,Educación secundaria baja,Total,2018,3.16
90,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-2,Educación secundaria baja,Hombres,2018,3.25
91,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-2,Educación secundaria baja,Mujeres,2018,3.06
92,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Total,2018,1.56
93,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Hombres,2018,1.54
94,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Mujeres,2018,1.58
95,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,Total,Total,Total,2018,2.59
96,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Hombres,2018,2.69
97,Chile,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Mujeres,2018,2.5
98,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Total,2018,
99,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Hombres,2018,
100,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Mujeres,2018,
101,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Urbano,2018,
102,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Rural,2018,
103,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Total,2018,
104,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Hombres,2018,
105,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Mujeres,2018,
106,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Urbano,2018,
107,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Rural,2018,
108,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Total,2018,
109,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Hombres,2018,
110,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Mujeres,2018,
111,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Urbano,2018,
112,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,Total,Total,Rural,2018,
113,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,Total,Total,Total,2018,
114,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Hombres,2018,
115,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Mujeres,2018,
116,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Urbano,2018,
117,Chile,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Rural,2018,
118,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-02,Educación pre-primaria,Total,2018,0.04
119,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-02,Educación pre-primaria,Hombres,2018,0.04
120,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-02,Educación pre-primaria,Mujeres,2018,0.03
121,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-02,Educación pre-primaria,Urbano,2018,0.04
122,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-02,Educación pre-primaria,Rural,2018,0.0
123,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-1,Educación primaria,Total,2018,5.43
124,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-1,Educación primaria,Hombres,2018,6.34
125,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-1,Educación primaria,Mujeres,2018,4.37
126,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-1,Educación primaria,Urbano,2018,5.41
127,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-1,Educación primaria,Rural,2018,6.03
128,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-2,Educación secundaria baja,Total,2018,12.35
129,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-2,Educación secundaria baja,Hombres,2018,14.43
130,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-2,Educación secundaria baja,Mujeres,2018,10.0
131,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-2,Educación secundaria baja,Urbano,2018,12.3
132,Chile,6,Indicador 6 - Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,CINE-2,Educación secundaria baja,Rural,2018,13.67
133,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-1,Educación primaria,Total,2018,6.89
134,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-1,Educación primaria,Hombres,2018,7.25
135,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-1,Educación primaria,Mujeres,2018,6.47
136,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-1,Educación primaria,Urbano,2018,6.91
137,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-1,Educación primaria,Rural,2018,6.39
138,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Total,2018,5.33
139,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Hombres,2018,5.73
140,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Mujeres,2018,4.89
141,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Urbano,2018,5.36
142,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Rural,2018,4.61
143,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Total,2018,8.23
144,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Hombres,2018,8.25
145,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Mujeres,2018,8.22
146,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Urbano,2018,8.22
147,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Rural,2018,8.76
148,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,Total,Total,Total,2018,6.85
149,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,Total,Total,Hombres,2018,7.14
150,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,Total,Total,Mujeres,2018,6.53
151,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,Total,Total,Urbano,2018,6.87
152,Chile,7,Indicador 7 - Tasa de abandono intra anual de estudiantes en situación de movilidad.,Total,Total,Rural,2018,6.21
153,Chile,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-1,Educación primaria,Total,2018,3.42
154,Chile,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-1,Educación primaria,Hombres,2018,3.5
155,Chile,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-1,Educación primaria,Mujeres,2018,3.33
156,Chile,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-2,Educación secundaria baja,Total,2018,3.49
157,Chile,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-2,Educación secundaria baja,Hombres,2018,3.53
158,Chile,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-2,Educación secundaria baja,Mujeres,2018,3.44
159,Chile,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-3,Educación secundaria alta,Total,2018,1.64
160,Chile,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-3,Educación secundaria alta,Hombres,2018,1.63
161,Chile,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,CINE-3,Educación secundaria alta,Mujeres,2018,1.64
162,Chile,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,Total,Total,Total,2018,3.07
163,Chile,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,Total,Total,Hombres,2018,3.15
164,Chile,8,Indicador 8 - Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,Total,Total,Mujeres,2018,2.99
165,Chile,4,Indicador 4 - Proporción de estudiantes en situación de movilidad matriculados oportunamente en el primer grado de primaria.,Total,Total,Total,2018,72.21
166,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-02,Educación pre-primaria,Total,2018,0.33
167,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-02,Educación pre-primaria,Hombres,2018,0.32
168,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-02,Educación pre-primaria,Mujeres,2018,0.33
169,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-1,Educación primaria,Total,2018,0.46
170,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-1,Educación primaria,Hombres,2018,0.45
171,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-1,Educación primaria,Mujeres,2018,0.47
172,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-2,Educación secundaria baja,Total,2018,0.2
173,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-2,Educación secundaria baja,Hombres,2018,0.19
174,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-2,Educación secundaria baja,Mujeres,2018,0.21
175,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Total,2018,0.06
176,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Hombres,2018,0.05
177,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Mujeres,2018,0.06
178,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,Total,Total,Total,2018,0.31
179,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Hombres,2018,0.3
180,Colombia,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Mujeres,2018,0.31
181,Colombia,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Total,2018,
182,Colombia,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Hombres,2018,
183,Colombia,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Mujeres,2018,
184,Colombia,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Urbano,2018,
185,Colombia,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Rural,2018,
186,Colombia,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Total,2018,
187,Colombia,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Hombres,2018,
188,Colombia,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Mujeres,2018,
189,Colombia,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Urbano,2018,
190,Colombia,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Rural,2018,
191,Colombia,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-3,Educación secundaria alta,Total,2018,
